Ref,Val,Package,PosX,PosY,Rot,Side
"C97","1uf","C_0402_1005Metric",59.419301,34.799700,0.000000,bottom
"C101","0.01uf","C_0201_0603Metric",57.569301,34.839700,135.000000,bottom
"C103","1uf","C_0402_1005Metric",58.609301,31.219700,0.000000,bottom
"C104","0.01uf","C_0201_0603Metric",63.111800,43.325000,0.000000,bottom
"C105","1uf","C_0402_1005Metric",58.559301,43.939700,90.000000,bottom
"C106","0.01uf","C_0201_0603Metric",64.139301,34.669700,-45.000000,bottom
"C107","0.001uf","C_0201_0603Metric",61.019301,33.809700,0.000000,bottom
"C108","0.001uf","C_0201_0603Metric",55.009301,42.124700,90.000000,bottom
"C109","1uf","C_0402_1005Metric",56.779301,33.559700,90.000000,bottom
"C110","0.01uf","C_0201_0603Metric",59.569301,43.779700,90.000000,bottom
"C111","0.01uf","C_0201_0603Metric",58.874301,33.299700,0.000000,bottom
"C125","1uf","C_0402_1005Metric",59.829301,32.299700,180.000000,bottom
"C162","100uf","C_1206_3216Metric",29.230000,29.830000,-90.000000,bottom
"C164","4.7uf","C_0402_1005Metric",31.779411,51.509411,45.000000,bottom
"C165","0.47uf","C_0402_1005Metric",34.410000,41.950000,90.000000,bottom
"C166","0.47uf","C_0402_1005Metric",42.150000,43.700000,-90.000000,bottom
"C171","4.7uf","C_0402_1005Metric",45.166800,47.280000,-90.000000,bottom
"C172","4.7uf","C_0402_1005Metric",27.426800,30.250000,-90.000000,bottom
"C173","4.7uf","C_0402_1005Metric",42.986800,53.780000,0.000000,bottom
"C174","0.1uf","C_0201_0603Metric",41.201800,60.525000,180.000000,bottom
"C176","0.47uf","C_0201_0603Metric",42.416800,50.180000,0.000000,bottom
"C178","0.47uf","C_0201_0603Metric",41.296800,53.830000,180.000000,bottom
"C180","0.47uf","C_0201_0603Metric",44.266800,45.280000,-90.000000,bottom
"C182","0.47uf","C_0201_0603Metric",39.716800,51.280000,45.000000,bottom
"C186","0.047uf","C_0201_0603Metric",5.111800,49.330000,180.000000,bottom
"C187","0.047uf","C_0201_0603Metric",8.571800,56.580000,0.000000,bottom
"C188","0.047uf","C_0201_0603Metric",5.566800,30.330000,180.000000,bottom
"C189","0.047uf","C_0201_0603Metric",9.121800,37.630000,0.000000,bottom
"C190","DNP","C_0201_0603Metric",6.266800,44.885000,90.000000,bottom
"C191","4.7uf","C_0402_1005Metric",-5.583200,49.230000,180.000000,bottom
"C192","4.7uf","C_0402_1005Metric",-5.583200,58.280000,180.000000,bottom
"C193","4.7uf","C_0402_1005Metric",-5.263200,41.070000,180.000000,bottom
"C194","4.7uf","C_0402_1005Metric",8.816800,60.530000,90.000000,bottom
"C197","0.47uf","C_0201_0603Metric",-4.813200,47.380000,180.000000,bottom
"C198","0.47uf","C_0201_0603Metric",43.841800,11.420000,0.000000,bottom
"C200","0.47uf","C_0201_0603Metric",30.985324,47.975717,-45.000000,bottom
"C202","0.047uf","C_0201_0603Metric",37.696800,11.980000,180.000000,bottom
"C203","0.047uf","C_0201_0603Metric",41.191800,19.290000,0.000000,bottom
"C204","0.47uf","C_0201_0603Metric",43.246800,34.730000,0.000000,bottom
"C205","0.47uf","C_0201_0603Metric",-4.813200,50.830000,180.000000,bottom
"C206","4.7uf","C_0402_1005Metric",37.236800,34.995000,90.000000,bottom
"C207","0.47uf","C_0201_0603Metric",-4.813200,45.730000,180.000000,bottom
"C208","dnp","C_0201_0603Metric",38.246800,14.745000,-90.000000,bottom
"C212","0.047uf","C_0201_0603Metric",34.596800,58.280000,-90.000000,bottom
"C213","330uf","C_1206_3216Metric",31.016800,56.442500,90.000000,bottom
"C214","4.7uf","C_0402_1005Metric",34.816800,46.830000,90.000000,bottom
"C215","10uf","C_0402_1005Metric",36.446800,58.100000,-90.000000,bottom
"C216","0.47uf","C_0201_0603Metric",35.496800,58.280000,-90.000000,bottom
"C217","100uf","C_1206_3216Metric",36.379300,55.730000,180.000000,bottom
"C218","4.7uf","C_0402_1005Metric",33.316800,55.010000,90.000000,bottom
"C219","0.47uf","C_0201_0603Metric",34.166800,44.853726,45.000000,bottom
"C220","0.047uf","C_0201_0603Metric",26.526800,30.520000,-90.000000,bottom
"C222","4.7uf","C_0402_1005Metric",41.486800,40.130000,180.000000,bottom
"C223","4.7uf","C_0402_1005Metric",31.066800,40.430000,135.000000,bottom
"C224","0.47uf","C_0201_0603Metric",33.846800,43.380000,0.000000,bottom
"C225","0.47uf","C_0201_0603Metric",32.922848,40.983952,-45.000000,bottom
"C226","0.47uf","C_0201_0603Metric",33.343074,45.703726,-45.000000,bottom
"C227","0.47uf","C_0201_0603Metric",36.466800,45.780000,90.000000,bottom
"C228","0.22uf","C_0402_1005Metric",25.636800,55.180000,90.000000,bottom
"C229","0.47uf","C_0201_0603Metric",-4.783200,43.330000,180.000000,bottom
"C230","0.047uf","C_0201_0603Metric",32.181800,46.670000,180.000000,bottom
"C231","0.047uf","C_0201_0603Metric",-4.828200,55.980000,180.000000,bottom
"C232","0.047uf","C_0201_0603Metric",31.896800,40.920000,-45.000000,bottom
"C234","4.7uf","C_0402_1005Metric",39.716800,42.280000,45.000000,bottom
"C236","0.47uf","C_0201_0603Metric",36.071800,51.180000,180.000000,bottom
"C239","0.22uf","C_0201_0603Metric",35.321800,48.780000,180.000000,bottom
"C241","4.7uf","C_0402_1005Metric",36.466800,43.550000,-90.000000,bottom
"C243","0.47uf","C_0201_0603Metric",32.416800,48.080000,135.000000,bottom
