Ref,Val,Package,PosX,PosY,Rot,Side
"","","",0.332326,0.586707,0.000000,top
"","","",62.910547,-0.583149,0.000000,top
"","","",0.830378,62.151820,0.000000,top
"","","",39.751347,70.293086,0.000000,top
"","","",0.830378,62.151820,0.000000,top
"","","",62.910547,-0.583149,0.000000,top
"","","",0.332326,0.586707,0.000000,top
"C1","0.1uf","C_0201_0603Metric",10.560000,65.550000,90.000000,top
"C2","0.1uf","C_0201_0603Metric",14.430000,58.410000,-90.000000,top
"C3","0.1uf","C_0201_0603Metric",5.530000,80.760000,0.000000,top
"C4","0.01uf","C_0201_0603Metric",40.660000,1.280000,180.000000,top
"C5","0.1uf","C_0201_0603Metric",25.300000,78.310000,90.000000,top
"C6","0.1uf","C_0603_1608Metric",-4.990000,33.190000,90.000000,top
"C7","0.1uf","C_0201_0603Metric",31.850000,72.400000,90.000000,top
"C8","0.01uf","C_0402_1005Metric",55.770000,23.160000,180.000000,top
"C9",".47uf","C_0402_1005Metric",7.368203,7.838176,90.000000,top
"C10","0.01uf","C_0201_0603Metric",39.060000,4.160000,90.000000,top
"C11","DNP","C_0603_1608Metric",63.750000,62.270000,180.000000,top
"C12","DNP","C_0603_1608Metric",70.720000,60.710000,-90.000000,top
"C14","18pf","C_0603_1608Metric",27.920000,0.500000,-90.000000,top
"C15","18pf","C_0603_1608Metric",27.940000,3.670000,90.000000,top
"C16","4.7uf","C_0805_2012Metric",41.659149,4.411278,0.000000,top
"C17","0.01uf","C_0201_0603Metric",37.100000,5.660000,0.000000,top
"C18","4.7uf","C_0402_1005Metric",34.910000,5.420000,180.000000,top
"C19","0.01uf","C_0201_0603Metric",55.320000,68.230000,180.000000,top
"C20","1uf","C_0402_1005Metric",63.968302,71.462276,90.000000,top
"C21","100pf","C_0201_0603Metric",60.230000,78.730000,90.000000,top
"C22","10uf","C_0805_2012Metric",63.980000,78.710000,90.000000,top
"C23","100pf","C_0402_1005Metric",67.014031,63.422945,180.000000,top
"C65","1uf","C_0805_2012Metric",-2.999552,6.808623,-90.000000,top
"C66","22uf","C_0805_2012Metric",15.066800,20.790000,90.000000,top
"C67","1uf","C_0402_1005Metric",5.790000,4.460000,90.000000,top
"C68","22uf","C_0805_2012Metric",21.486800,8.260000,0.000000,top
"C69","0.01uf","C_0201_0603Metric",9.791800,21.280000,180.000000,top
"C70","0.01uf","C_0201_0603Metric",6.146800,22.060000,-90.000000,top
"C71","10uf","C_0805_2012Metric",13.646800,17.910000,0.000000,top
"C72","10uf","C_0805_2012Metric",13.681800,13.185000,0.000000,top
